연도,시도,입학자수,,전문대학,,교육대학,,일반대학,,방송통신대학,,산업대학,,기술대학,,각종학교,,원격및사이버대학,,사내대학,,전공대학,,기능대학,,대학원,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,계,,석사,,박사,
,,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여,계,여
2015,광주,28819,14521,7934,3906,353,229,14748,7756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,15,5320,2615,4170,2137,1150,478
2016,광주,28254,14416,7737,3892,344,211,14528,7780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,20,5186,2513,4062,2065,1124,448
2017,광주,27693,14055,7604,3716,346,198,14412,7699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,11,4890,2431,3772,1977,1118,454
2018,광주,27681,14110,7526,3742,352,221,14567,7760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,11,4765,2376,3536,1875,1229,501
2019,광주,27329,13734,7441,3590,351,212,14628,7698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,14,4505,2220,3343,1735,1162,485
2020,광주,27379,13937,7297,3597,350,222,14650,7720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,20,4670,2378,3431,1815,1239,563
2021,광주,26202,13272,6618,3294,337,199,14134,7331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,9,4715,2439,3556,1950,1159,489
1999,대전,34517,14903,12065,6270,0,0,15393,6547,0,0,3255,1050,0,0,120,40,0,0,0,0,0,0,0,0,3684,996,3222,904,462,92
2000,대전,37059,16673,13371,7116,0,0,15990,7091,0,0,3452,1168,0,0,95,39,0,0,0,0,0,0,0,0,4151,1259,3592,1145,559,114
2001,대전,37267,16819,13528,6991,0,0,15745,7128,0,0,3601,1320,0,0,112,40,0,0,0,0,0,0,0,0,4281,1340,3723,1219,558,121
2002,대전,36808,16725,13284,7004,0,0,15223,6840,0,0,3624,1300,0,0,107,36,0,0,0,0,0,0,0,0,4570,1545,3980,1391,590,154
